user_id,road_user_type,gender,age,age_group,age_group_id
223,Motorcycle rider,Male,76,75_or_older,6
224,Pedestrian,Male,76,75_or_older,6
225,Driver,Male,51,40_to_64,4
226,Driver,Male,44,40_to_64,4
227,Driver,Male,34,26_to_39,3
228,Driver,Male,77,75_or_older,6
229,Motorcycle rider,Male,19,17_to_25,2
230,Motorcycle rider,Male,65,65_to_74,1
231,Motorcycle rider,Male,21,17_to_25,2
232,Motorcycle rider,Male,27,26_to_39,3
233,Motorcycle rider,Male,21,17_to_25,2
234,Motorcycle rider,Female,33,26_to_39,3
235,Driver,Female,19,17_to_25,2
236,Driver,Male,49,40_to_64,4
237,Driver,Male,34,26_to_39,3
238,Driver,Male,61,40_to_64,4
239,Pedestrian,Male,11,0_to_16,5
240,Pedestrian,Female,39,26_to_39,3
241,Motorcycle rider,Male,30,26_to_39,3
242,Driver,Male,49,40_to_64,4
243,Driver,Male,41,40_to_64,4
244,Driver,Female,31,26_to_39,3
245,Driver,Female,76,75_or_older,6
246,Pedestrian,Male,78,75_or_older,6
247,Motorcycle rider,Male,20,17_to_25,2
248,Pedal cyclist,Male,9,0_to_16,5
249,Motorcycle rider,Male,15,0_to_16,5
250,Pedestrian,Male,37,26_to_39,3
251,Driver,Male,30,26_to_39,3
252,Pedestrian,Male,52,40_to_64,4
253,Pedestrian,Female,1,0_to_16,5
254,Driver,Female,52,40_to_64,4
255,Driver,Female,93,75_or_older,6
256,Driver,Male,87,75_or_older,6
257,Motorcycle rider,Male,37,26_to_39,3
258,Motorcycle rider,Male,31,26_to_39,3
259,Motorcycle rider,Male,34,26_to_39,3
260,Driver,Male,53,40_to_64,4
261,Motorcycle rider,Male,23,17_to_25,2
262,Driver,Female,27,26_to_39,3
263,Driver,Female,65,65_to_74,1
264,Passenger,Male,19,17_to_25,2
265,Passenger,Female,57,40_to_64,4
266,Passenger,Male,18,17_to_25,2
267,Driver,Male,57,40_to_64,4
268,Driver,Male,72,65_to_74,1
269,Driver,Male,81,75_or_older,6
270,Driver,Female,83,75_or_older,6
271,Driver,Male,60,40_to_64,4
272,Driver,Male,66,65_to_74,1
273,Driver,Female,44,40_to_64,4
274,Motorcycle rider,Male,21,17_to_25,2
275,Pedestrian,Female,79,75_or_older,6
276,Driver,Male,17,17_to_25,2
277,Motorcycle rider,Male,32,26_to_39,3
278,Driver,Male,53,40_to_64,4
279,Driver,Male,74,65_to_74,1
280,Motorcycle rider,Male,22,17_to_25,2
281,Motorcycle rider,Male,22,17_to_25,2
282,Driver,Male,58,40_to_64,4
283,Motorcycle rider,Male,23,17_to_25,2
284,Pedestrian,Female,74,65_to_74,1
285,Pedestrian,Male,32,26_to_39,3
286,Driver,Male,41,40_to_64,4
287,Driver,Male,17,17_to_25,2
288,Pedestrian,Male,53,40_to_64,4
289,Passenger,Female,22,17_to_25,2
290,Passenger,Male,22,17_to_25,2
291,Driver,Male,51,40_to_64,4
292,Passenger,Male,84,75_or_older,6
293,Motorcycle rider,Male,50,40_to_64,4
294,Driver,Male,65,65_to_74,1
295,Passenger,Female,59,40_to_64,4
296,Driver,Male,25,17_to_25,2
297,Driver,Female,22,17_to_25,2
298,Driver,Male,56,40_to_64,4
299,Driver,Male,48,40_to_64,4
300,Motorcycle rider,Male,21,17_to_25,2
301,Motorcycle rider,Male,38,26_to_39,3
302,Pedestrian,Female,35,26_to_39,3
303,Motorcycle rider,Male,37,26_to_39,3
304,Motorcycle rider,Male,60,40_to_64,4
305,Driver,Female,56,40_to_64,4
306,Motorcycle rider,Male,63,40_to_64,4
307,Driver,Male,20,17_to_25,2
308,Pedal cyclist,Male,81,75_or_older,6
309,Driver,Female,80,75_or_older,6
310,Driver,Male,18,17_to_25,2
311,Pedestrian,Male,36,26_to_39,3
312,Motorcycle rider,Male,57,40_to_64,4
313,Driver,Male,28,26_to_39,3
314,Driver,Male,96,75_or_older,6
315,Driver,Male,63,40_to_64,4
316,Motorcycle rider,Male,38,26_to_39,3
317,Motorcycle rider,Male,58,40_to_64,4
318,Pedestrian,Female,15,0_to_16,5
319,Driver,Male,62,40_to_64,4
320,Pedestrian,Male,62,40_to_64,4
321,Pedestrian,Male,39,26_to_39,3
322,Driver,Male,23,17_to_25,2
323,Passenger,Female,26,26_to_39,3
324,Passenger,Male,25,17_to_25,2
325,Driver,Male,21,17_to_25,2
326,Driver,Male,50,40_to_64,4
327,Driver,Male,40,40_to_64,4
328,Pedestrian,Male,57,40_to_64,4
329,Motorcycle rider,Male,44,40_to_64,4
330,Driver,Male,64,40_to_64,4
331,Passenger,Female,60,40_to_64,4
332,Driver,Male,68,65_to_74,1
333,Motorcycle rider,Male,23,17_to_25,2
334,Driver,Female,54,40_to_64,4
335,Pedestrian,Female,63,40_to_64,4
336,Pedestrian,Male,13,0_to_16,5
337,Motorcycle rider,Male,29,26_to_39,3
338,Pedestrian,Male,56,40_to_64,4
339,Driver,Male,44,40_to_64,4
340,Driver,Male,17,17_to_25,2
341,Driver,Male,53,40_to_64,4
342,Driver,Female,23,17_to_25,2
343,Driver,Female,53,40_to_64,4
344,Driver,Male,56,40_to_64,4
345,Driver,Male,19,17_to_25,2
346,Motorcycle rider,Male,78,75_or_older,6
347,Motorcycle rider,Male,70,65_to_74,1
348,Pedal cyclist,Male,42,40_to_64,4
349,Driver,Male,31,26_to_39,3
350,Pedestrian,Male,66,65_to_74,1
351,Motorcycle pillion passenger,Male,20,17_to_25,2
352,Pedestrian,Male,49,40_to_64,4
353,Pedestrian,Male,61,40_to_64,4
354,Motorcycle pillion passenger,Male,20,17_to_25,2
355,Motorcycle rider,Male,21,17_to_25,2
356,Motorcycle rider,Male,69,65_to_74,1
357,Driver,Female,80,75_or_older,6
358,Pedestrian,Female,68,65_to_74,1
359,Driver,Male,52,40_to_64,4
360,Passenger,Female,81,75_or_older,6
361,Driver,Male,46,40_to_64,4
362,Passenger,Male,37,26_to_39,3
363,Passenger,Male,6,0_to_16,5
364,Driver,Male,23,17_to_25,2
365,Motorcycle rider,Male,34,26_to_39,3
366,Driver,Male,25,17_to_25,2
367,Driver,Male,21,17_to_25,2
368,Motorcycle rider,Male,19,17_to_25,2
369,Motorcycle rider,Male,32,26_to_39,3
370,Pedestrian,Female,43,40_to_64,4
371,Pedal cyclist,Male,49,40_to_64,4
372,Motorcycle rider,Male,34,26_to_39,3
373,Passenger,Female,35,26_to_39,3
374,Passenger,Female,60,40_to_64,4
375,Passenger,Male,28,26_to_39,3
376,Driver,Male,50,40_to_64,4
377,Driver,Male,73,65_to_74,1
378,Pedal cyclist,Female,68,65_to_74,1
379,Driver,Male,72,65_to_74,1
380,Motorcycle rider,Male,78,75_or_older,6
381,Pedestrian,Male,79,75_or_older,6
382,Pedestrian,Female,37,26_to_39,3
383,Driver,Female,37,26_to_39,3
384,Driver,Male,20,17_to_25,2
385,Driver,Male,29,26_to_39,3
386,Driver,Male,63,40_to_64,4
387,Pedestrian,Male,35,26_to_39,3
388,Motorcycle rider,Male,69,65_to_74,1
389,Pedestrian,Male,52,40_to_64,4
390,Pedal cyclist,Male,27,26_to_39,3
391,Motorcycle rider,Male,22,17_to_25,2
392,Driver,Male,75,75_or_older,6
393,Motorcycle rider,Male,47,40_to_64,4
394,Motorcycle rider,Male,51,40_to_64,4
395,Pedestrian,Male,67,65_to_74,1
396,Passenger,Female,36,26_to_39,3
397,Passenger,Female,3,0_to_16,5
398,Driver,Male,47,40_to_64,4
399,Pedestrian,Male,70,65_to_74,1
400,Driver,Male,38,26_to_39,3
401,Driver,Male,79,75_or_older,6
402,Driver,Male,24,17_to_25,2
403,Passenger,Male,27,26_to_39,3
404,Passenger,Female,68,65_to_74,1
405,Driver,Male,65,65_to_74,1
406,Motorcycle rider,Male,30,26_to_39,3
407,Motorcycle rider,Male,31,26_to_39,3
408,Driver,Male,28,26_to_39,3
409,Pedestrian,Male,50,40_to_64,4
410,Passenger,Male,16,0_to_16,5
411,Motorcycle rider,Male,27,26_to_39,3
412,Pedestrian,Female,96,75_or_older,6
413,Driver,Male,59,40_to_64,4
414,Driver,Male,55,40_to_64,4
415,Driver,Male,60,40_to_64,4
416,Pedestrian,Male,80,75_or_older,6
417,Pedestrian,Male,57,40_to_64,4
418,Motorcycle rider,Male,54,40_to_64,4
419,Driver,Male,43,40_to_64,4
420,Driver,Male,23,17_to_25,2
421,Driver,Male,59,40_to_64,4
422,Driver,Male,25,17_to_25,2
423,Driver,Male,63,40_to_64,4
424,Pedestrian,Female,20,17_to_25,2
425,Driver,Male,20,17_to_25,2
426,Driver,Male,34,26_to_39,3
427,Motorcycle rider,Male,23,17_to_25,2
428,Motorcycle rider,Male,30,26_to_39,3
429,Driver,Male,75,75_or_older,6
430,Motorcycle rider,Male,71,65_to_74,1
431,Driver,Male,78,75_or_older,6
432,Driver,Male,55,40_to_64,4
433,Driver,Male,61,40_to_64,4
434,Motorcycle rider,Male,49,40_to_64,4
435,Motorcycle rider,Male,17,17_to_25,2
436,Driver,Male,40,40_to_64,4
437,Passenger,Male,18,17_to_25,2
438,Driver,Male,16,0_to_16,5
439,Passenger,Male,19,17_to_25,2
440,Pedestrian,Male,53,40_to_64,4
441,Pedal cyclist,Male,63,40_to_64,4
442,Pedal cyclist,Female,56,40_to_64,4
443,Passenger,Male,20,17_to_25,2
444,Passenger,Female,18,17_to_25,2
445,Passenger,Female,20,17_to_25,2
446,Driver,Male,87,75_or_older,6
447,Driver,Female,55,40_to_64,4
448,Passenger,Male,54,40_to_64,4
449,Motorcycle rider,Male,16,0_to_16,5
450,Pedal cyclist,Male,63,40_to_64,4
451,Driver,Male,33,26_to_39,3
452,Driver,Male,67,65_to_74,1
453,Driver,Male,33,26_to_39,3
454,Pedal cyclist,Male,69,65_to_74,1
455,Driver,Male,56,40_to_64,4
456,Driver,Male,71,65_to_74,1
457,Driver,Male,67,65_to_74,1
458,Driver,Female,28,26_to_39,3
459,Passenger,Male,3,0_to_16,5
460,Driver,Male,59,40_to_64,4
461,Motorcycle rider,Male,37,26_to_39,3
462,Driver,Male,84,75_or_older,6
463,Motorcycle rider,Male,51,40_to_64,4
464,Driver,Female,85,75_or_older,6
465,Driver,Male,39,26_to_39,3
466,Driver,Male,67,65_to_74,1
467,Motorcycle rider,Male,19,17_to_25,2
468,Motorcycle rider,Male,26,26_to_39,3
469,Driver,Male,32,26_to_39,3
470,Pedestrian,Female,64,40_to_64,4
471,Driver,Male,73,65_to_74,1
472,Pedal cyclist,Male,11,0_to_16,5
473,Driver,Male,63,40_to_64,4
474,Motorcycle rider,Male,17,17_to_25,2
475,Pedestrian,Male,83,75_or_older,6
476,Motorcycle rider,Male,25,17_to_25,2
477,Driver,Male,28,26_to_39,3
478,Motorcycle rider,Male,57,40_to_64,4
479,Driver,Male,33,26_to_39,3
