Crash ID,bus_flag,heavy_rigid_flag,articulated_flag,vehicle_type,vehicle_id
20241115,False,False,False,Other,1
20241125,False,False,False,Other,2
20246013,False,False,False,Other,3
20241002,False,False,False,Other,4
20243185,False,False,False,Other,5
20244016,False,False,False,Other,6
20243168,False,False,False,Other,7
20246003,False,False,False,Other,8
20246001,False,False,False,Other,9
20244081,False,False,False,Other,10
20241087,False,False,False,Other,11
20241054,False,False,True,Articulated Truck,12
20244042,False,False,False,Other,13
20243246,False,False,False,Other,14
20241101,False,False,True,Articulated Truck,15
20241216,False,False,False,Other,16
20241300,False,False,False,Other,17
20243007,False,False,False,Other,18
20241278,False,False,False,Other,19
20241149,False,False,False,Other,20
20241068,True,False,True,Bus,21
20243273,False,False,False,Other,22
20244020,False,False,False,Other,23
20244055,False,False,False,Other,24
20241094,False,False,False,Other,25
20243160,False,False,False,Other,26
20243209,False,False,False,Other,27
20244001,False,False,False,Other,28
20243243,False,True,False,Heavy Rigid Truck,29
20246016,False,False,False,Other,30
20241119,False,False,False,Other,31
20241169,False,False,False,Other,32
20241291,False,False,True,Articulated Truck,33
20243036,False,False,False,Other,34
20244026,False,False,False,Other,35
20241077,False,False,False,Other,36
20241028,False,False,False,Other,37
20241022,False,False,False,Other,38
20243015,False,False,False,Other,39
20244023,False,False,False,Other,40
20241098,False,False,False,Other,41
20243114,False,False,False,Other,42
20241040,False,False,False,Other,43
20241174,False,False,False,Other,44
20241088,False,False,False,Other,45
20241255,False,False,False,Other,46
20241053,False,False,False,Other,47
20243046,False,False,False,Other,48
20241080,False,False,False,Other,49
20243044,False,False,True,Articulated Truck,50
20241274,False,False,False,Other,51
20243176,False,False,False,Other,52
20241181,False,False,True,Articulated Truck,53
20243110,False,False,False,Other,54
20244044,False,False,False,Other,55
20243147,False,False,False,Other,56
20244019,False,False,False,Other,57
20241194,False,True,True,Heavy Rigid Truck,58
20241139,True,False,False,Bus,59
20241197,False,False,True,Articulated Truck,60
20243220,False,False,False,Other,61
20243267,False,False,False,Other,62
20241057,False,False,False,Other,63
20243174,False,False,False,Other,64
20241166,False,False,False,Other,65
20243213,False,False,True,Articulated Truck,66
20241096,False,False,False,Other,67
20242089,False,False,False,Other,68
20243073,False,False,False,Other,69
20241027,False,False,False,Other,70
20241163,False,False,False,Other,71
20243143,False,False,False,Other,72
20241222,False,False,False,Other,73
20241218,False,False,False,Other,74
20243249,False,False,False,Other,75
20243098,False,False,False,Other,76
20241306,False,False,False,Other,77
20243037,False,False,False,Other,78
20244083,False,False,False,Other,79
20241196,False,False,False,Other,80
20244028,False,False,False,Other,81
20243038,False,False,False,Other,82
20242023,False,False,True,Articulated Truck,83
20242230,False,False,False,Other,84
20242127,False,False,False,Other,85
20242120,False,False,False,Other,86
20241106,False,False,False,Other,87
20241230,False,False,False,Other,88
20241055,False,False,False,Other,89
20241267,False,False,False,Other,90
20242260,False,False,False,Other,91
20242057,False,False,False,Other,92
